planet_name,jwst_instrument,jwst_filter,jwst_dispersion,num_obs,eap_months,pid,type,jwst_cycle,eq-temp_errneg,eq-temp_errpos,eq-temp_kelvin,eq-temp_ref,host_name,mass_errneg,mass_errpos,mass_mearth,mass_ref,period_day,period_errneg,period_errpos,period_ref,planet_id,radius_errneg,radius_errpos,radius_rearth,radius_ref,sma_au,sma_errneg,sma_errpos,sma_ref,star-age_errneg,star-age_errpos,star-age_ga,star-age_ref,star-log10-lbol_errneg,star-log10-lbol_errpos,star-log10-lbol_lsol,star-log10-lbol_ref,star-mass_errneg,star-mass_errpos,star-mass_msol,star-mass_ref,star-radius_errneg,star-radius_errpos,star-radius_ref,star-radius_rsol,star-rotvel_errneg,star-rotvel_errpos,star-rotvel_kms,star-rotvel_ref,star-teff_errneg,star-teff_errpos,star-teff_kelvin,star-teff_ref,system-distance_errneg,system-distance_errpos,system-distance_pc,system-distance_ref,system_p-num,system_s-num
55 Cnc e,MIRI / LRS,-,-,1,12,1952,Eclipse,1,-15.0,15.0,1958.0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,55 Cnc,-0.33,0.32,7.99,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,-1.4e-6,1.3e-6,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,e,-0.029,0.029,1.875,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.01544,-0.00005,0.00005,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-2.5,2.5,10.2,<a refstr=VON_BRAUN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract target=ref> von Braun et al. 2011 </a>,-0.01,0.012,-0.197,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-0.02,0.02,0.91,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-0.01,0.01,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.94,-0.01,0.01,1.23,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-18.0,18.0,5172.0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,-0.0123,0.0124,12.5855,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.0,2.0
55 Cnc e,NIRCam / GTS,F444W,GRISM,1,12,1952,Eclipse,1,-15.0,15.0,1958.0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,55 Cnc,-0.33,0.32,7.99,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,-1.4e-6,1.3e-6,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,e,-0.029,0.029,1.875,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.01544,-0.00005,0.00005,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-2.5,2.5,10.2,<a refstr=VON_BRAUN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract target=ref> von Braun et al. 2011 </a>,-0.01,0.012,-0.197,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-0.02,0.02,0.91,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-0.01,0.01,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.94,-0.01,0.01,1.23,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-18.0,18.0,5172.0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,-0.0123,0.0124,12.5855,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.0,2.0
55 Cnc e,NIRCam / GTS,F444W,GRISM,5,12,2084,Eclipse,1,-15.0,15.0,1958.0,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,55 Cnc,-0.33,0.32,7.99,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,-1.4e-6,1.3e-6,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,e,-0.029,0.029,1.875,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.01544,-0.00005,0.00005,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-2.5,2.5,10.2,<a refstr=VON_BRAUN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740...49V/abstract target=ref> von Braun et al. 2011 </a>,-0.01,0.012,-0.197,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-0.02,0.02,0.91,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-0.01,0.01,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.94,-0.01,0.01,1.23,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,-18.0,18.0,5172.0,<a refstr=DAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883...79D/abstract target=ref>Dai et al. 2019</a>,-0.0123,0.0124,12.5855,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.0,2.0
AU Mic b,NIRCam / GTS,F322W2,GRISM-R,2,6,5311,Transit,3,-16.0,17.0,600.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,AU Mic,-1.72,1.57,20.12,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.46308,-0.00006,0.00006,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,b,-0.146,0.146,3.957,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,0.0649,-0.0012,0.0012,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.002,0.003,0.02,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.049,0.049,-1.038,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.03,0.03,0.51,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.02,0.02,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,0.74,-0.2,0.2,8.5,<a refstr=DONATI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..455D/abstract target=ref>Donati et al. 2023</a>,-88.0,90.0,3678.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.004625,0.004625,9.7221,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3.0,1.0
AU Mic b,NIRCam / GTS,F444W,GRISM-R,2,6,5311,Transit,3,-16.0,17.0,600.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,AU Mic,-1.72,1.57,20.12,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.46308,-0.00006,0.00006,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,b,-0.146,0.146,3.957,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,0.0649,-0.0012,0.0012,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.002,0.003,0.02,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.049,0.049,-1.038,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.03,0.03,0.51,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.02,0.02,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,0.74,-0.2,0.2,8.5,<a refstr=DONATI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..455D/abstract target=ref>Donati et al. 2023</a>,-88.0,90.0,3678.0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,-0.004625,0.004625,9.7221,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,3.0,1.0
GJ 1132 b,MIRI / LRS,-,-,1,12,1274,Eclipse,1,-8.5,11.0,583.8,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,GJ 1132,-0.18752,0.1907,1.83705,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,1.62892911,-3e-7,2.9e-7,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,b,-0.045,0.038,1.192,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,0.0157,-0.00013,0.00013,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,,,5.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,-0.024,0.032,-2.321,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.0,0.0,0.19,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.01,0.01,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,0.22,,,2.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,-62.0,78.0,3229.0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.007,0.007,12.613,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2.0,1.0
GJ 1132 b,NIRSpec / BOTS,F290LP,G395M,2,0,1981,Transit,1,-8.5,11.0,583.8,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,GJ 1132,-0.18752,0.1907,1.83705,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,1.62892911,-3e-7,2.9e-7,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,b,-0.045,0.038,1.192,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,0.0157,-0.00013,0.00013,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,,,5.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,-0.024,0.032,-2.321,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.0,0.0,0.19,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.01,0.01,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,0.22,,,2.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,-62.0,78.0,3229.0,<a refstr=XUE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240813340X/abstract target=ref>Xue et al. 2024</a>,-0.007,0.007,12.613,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,2.0,1.0
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,1,12,1185,Transit,1,-7.6,7.6,567.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,GJ 1214,-0.35,0.36,8.41,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,1.58040453,-2e-8,2e-8,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,b,-0.031,0.033,2.733,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.01505,-0.00011,0.00011,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,,,3.0,<a refstr=BERTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...12B/abstract target=ref> Berta et al. 2011 </a>,-0.023,0.023,-2.409,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,0.18,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.22,,,2.0,<a refstr=CARTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...82C/abstract target=ref> Carter et al. 2011 </a>,-43.0,43.0,3101.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0372,0.0372,14.6427,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.0,1.0
GJ 1214 b,NIRSpec / BOTS,F290LP,G395H,1,12,1185,Transit,1,-7.6,7.6,567.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,GJ 1214,-0.35,0.36,8.41,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,1.58040453,-2e-8,2e-8,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,b,-0.031,0.033,2.733,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.01505,-0.00011,0.00011,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,,,3.0,<a refstr=BERTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...12B/abstract target=ref> Berta et al. 2011 </a>,-0.023,0.023,-2.409,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,0.18,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.22,,,2.0,<a refstr=CARTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...82C/abstract target=ref> Carter et al. 2011 </a>,-43.0,43.0,3101.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0372,0.0372,14.6427,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.0,1.0
GJ 1214 b,MIRI / LRS,-,-,1,12,1803,Phase Curve,1,-7.6,7.6,567.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,GJ 1214,-0.35,0.36,8.41,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,1.58040453,-2e-8,2e-8,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,b,-0.031,0.033,2.733,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.01505,-0.00011,0.00011,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,,,3.0,<a refstr=BERTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...12B/abstract target=ref> Berta et al. 2011 </a>,-0.023,0.023,-2.409,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,0.18,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0,0.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,0.22,,,2.0,<a refstr=CARTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...82C/abstract target=ref> Carter et al. 2011 </a>,-43.0,43.0,3101.0,<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>,-0.0372,0.0372,14.6427,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.0,1.0
GJ 3090 b,NIRSpec / BOTS,F290LP,G395H,2,0,4098,Transit,2,-18.0,18.0,693.0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,GJ 3090,-0.72,0.72,3.34,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.8531054,-2.3e-6,2.3e-6,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,b,-0.11,0.11,2.13,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,0.03165,-0.00027,0.00027,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,,,,"",-0.016,0.017,-1.342,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,-0.01,0.01,0.52,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,-0.02,0.02,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,0.52,-0.05,0.05,1.468,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,-70.0,70.0,3556.0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,-0.02605,0.02605,22.4751,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,1.0,1.0
